season,fg,fga,3p,3pa,ft,fta,ast,tov,pts,fg%,3p%,pace,efg%,tov%,ft/fga,ortg
2021,41.2,88.4,12.7,34.6,17.0,21.8,24.8,13.8,112.1,0.466,0.367,99.2,0.538,12.4,0.192,112.3
2020,40.9,88.8,12.2,34.1,17.9,23.1,24.4,14.5,111.8,0.46,0.358,100.3,0.529,12.8,0.201,110.6
2019,41.1,89.2,11.4,32.0,17.7,23.1,24.6,14.1,111.2,0.461,0.355,100.0,0.524,12.4,0.198,110.4
2018,39.6,86.1,10.5,29.0,16.6,21.7,23.2,14.3,106.3,0.46,0.362,97.3,0.521,13.0,0.193,108.6
2017,39.0,85.4,9.7,27.0,17.8,23.1,22.6,14.0,105.6,0.457,0.358,96.4,0.514,12.7,0.209,108.8
2016,38.2,84.6,8.5,24.1,17.7,23.4,22.3,14.4,102.7,0.452,0.354,95.8,0.502,13.2,0.209,106.4
2015,37.5,83.6,7.8,22.4,17.1,22.8,22.0,14.4,100.0,0.449,0.35,93.9,0.496,13.3,0.205,105.6
2014,37.7,83.0,7.7,21.5,17.8,23.6,22.0,14.6,101.0,0.454,0.36,93.9,0.501,13.6,0.215,106.6
2013,37.1,82.0,7.2,20.0,16.7,22.2,22.1,14.6,98.1,0.453,0.359,92.0,0.496,13.7,0.204,105.8
2012,36.5,81.4,6.4,18.4,16.9,22.5,21.0,14.6,96.3,0.448,0.349,91.3,0.487,13.8,0.208,104.6
2011,37.2,81.2,6.5,18.0,18.6,24.4,21.5,14.3,99.6,0.459,0.358,92.1,0.498,13.4,0.229,107.3
2010,37.7,81.7,6.4,18.1,18.6,24.5,21.2,14.2,100.4,0.461,0.355,92.7,0.501,13.3,0.228,107.6
2009,37.1,80.9,6.6,18.1,19.1,24.7,21.0,14.0,100.0,0.459,0.367,91.7,0.5,13.3,0.236,108.3
2008,37.3,81.5,6.6,18.1,18.8,24.9,21.8,14.1,99.9,0.457,0.362,92.4,0.497,13.2,0.231,107.5
2007,36.5,79.7,6.1,16.9,19.6,26.1,21.3,15.1,98.7,0.458,0.358,91.9,0.496,14.2,0.246,106.5
2006,35.8,79.0,5.7,16.0,19.6,26.3,20.6,14.4,97.0,0.454,0.358,90.5,0.49,13.7,0.248,106.2
2005,35.9,80.3,5.6,15.8,19.7,26.1,21.3,14.5,97.2,0.447,0.356,90.9,0.482,13.6,0.245,106.1
2004,35.0,79.8,5.2,14.9,18.2,24.2,21.3,15.0,93.4,0.439,0.347,90.1,0.471,14.2,0.228,102.9
2003,35.7,80.8,5.1,14.7,18.5,24.4,21.5,14.9,95.1,0.442,0.349,91.0,0.474,14.0,0.229,103.6
2002,36.2,81.3,5.2,14.7,17.9,23.8,21.9,14.5,95.5,0.445,0.354,90.7,0.477,13.6,0.221,104.5
2001,35.7,80.6,4.8,13.7,18.6,24.9,21.8,15.0,94.8,0.443,0.354,91.3,0.473,14.1,0.231,103.0
